# s_ref,X_ref,Y_ref,phi_ref,kappa_ref,right_width,left_width
117.791417,-43.505834,39.268786,-1.239040,-0.001212,1.750001,1.749999
117.891410,-43.473267,39.174231,-1.239167,-0.001322,1.750001,1.749999
117.991403,-43.440712,39.079669,-1.239305,-0.001432,1.750001,1.749999
118.091395,-43.408170,38.985100,-1.239453,-0.001543,1.750001,1.749999
118.191388,-43.375642,38.890524,-1.239613,-0.001653,1.750001,1.749999
118.291381,-43.343128,38.795940,-1.239784,-0.001763,1.750001,1.749999
118.391373,-43.310631,38.701349,-1.239966,-0.001873,1.750001,1.749999
118.491366,-43.278150,38.606749,-1.240159,-0.001983,1.750001,1.749999
118.591359,-43.245688,38.512140,-1.240363,-0.002094,1.750001,1.749999
118.691352,-43.213244,38.417522,-1.240578,-0.002204,1.750001,1.749999
118.791344,-43.180820,38.322894,-1.240804,-0.002314,1.750001,1.749999
118.891337,-43.148419,38.228259,-1.241045,-0.002546,1.749999,1.750001
118.991330,-43.116041,38.133614,-1.241313,-0.002819,1.749999,1.750001
119.091322,-43.083689,38.038959,-1.241609,-0.003091,1.749999,1.750001
119.191315,-43.051366,37.944291,-1.241932,-0.003364,1.749999,1.750001
119.291308,-43.019074,37.849612,-1.242282,-0.003636,1.749999,1.750001
119.391301,-42.986817,37.754920,-1.242659,-0.003909,1.749999,1.750001
119.491293,-42.954596,37.660214,-1.243064,-0.004182,1.749999,1.750001
119.591286,-42.922414,37.565495,-1.243496,-0.004454,1.749999,1.750001
119.691279,-42.890275,37.470761,-1.243955,-0.004727,1.749999,1.750001
119.791271,-42.858181,37.376012,-1.244442,-0.005000,1.749999,1.750001
119.891264,-42.826135,37.281249,-1.244956,-0.005273,1.749999,1.750001
119.991257,-42.794138,37.186469,-1.245497,-0.005546,1.749999,1.750001
120.091250,-42.762195,37.091673,-1.246065,-0.005819,1.749999,1.750001
120.191242,-42.730308,36.996860,-1.246661,-0.006092,1.749999,1.750001
120.291235,-42.698479,36.902029,-1.247284,-0.006366,1.749999,1.750001
120.391228,-42.666711,36.807180,-1.247934,-0.006639,1.749999,1.750001
120.491220,-42.635007,36.712313,-1.248612,-0.006913,1.749999,1.750001
120.591213,-42.603369,36.617427,-1.249317,-0.007186,1.749999,1.750001
120.691206,-42.571801,36.522521,-1.250050,-0.007460,1.749999,1.750001
120.791199,-42.540304,36.427595,-1.250810,-0.007734,1.749999,1.750001
120.891191,-42.508883,36.332648,-1.251597,-0.008008,1.749999,1.750001
120.991184,-42.477538,36.237680,-1.252411,-0.008282,1.749999,1.750001
121.091177,-42.446274,36.142691,-1.253253,-0.008557,1.749999,1.750001
121.191169,-42.415093,36.047679,-1.254123,-0.008831,1.749999,1.750001
121.291162,-42.383996,35.952644,-1.255019,-0.009106,1.749999,1.750001
