x,y,right_width,left_width
-2.373058778817052428e+01,-4.063735952204668678e+01,1.749993520201320596e+00,1.749993520201323927e+00
-2.244518060394200631e+01,-3.721740335299649871e+01,1.749986388028072382e+00,1.749986388028072382e+00
-2.028771252344227705e+01,-3.432384619808290438e+01,1.749992251669048038e+00,1.749992251669048038e+00
-1.708981512874022712e+01,-3.267462342661607977e+01,1.750000540457537612e+00,1.750000540457530729e+00
-1.340958401404854072e+01,-3.250070117185545371e+01,1.749993818761109043e+00,1.749993818761105269e+00
-1.039113577786679166e+01,-3.435985628773627809e+01,1.749966687775943663e+00,1.749966687775943663e+00
-8.393680097883262192e+00,-3.741169995436101203e+01,1.749961499747747506e+00,1.749961499747747506e+00
-6.526532973613075939e+00,-4.055690675578682658e+01,1.749983004527373875e+00,1.749983004527377206e+00
-3.717244021826409561e+00,-4.277390573134081109e+01,1.749997836149056019e+00,1.749997836149056019e+00
-1.057881881457151119e-01,-4.332884597773136193e+01,1.749990367081368570e+00,1.749990367081361464e+00
3.332030149824726006e+00,-4.228784647045331013e+01,1.749992914854330284e+00,1.749992914854330284e+00
5.866400173453017786e+00,-3.969787056233860767e+01,1.750001336198804713e+00,1.750001336198804047e+00
7.137062671476533282e+00,-3.632892506012656497e+01,1.749998957943881495e+00,1.749998957943882605e+00
7.285012629941449269e+00,-3.268286046204075035e+01,1.749998068053664646e+00,1.749998068053664868e+00
6.978175453266581840e+00,-2.904180501356595201e+01,1.750002503482252836e+00,1.750002503482253724e+00
6.417663892710665507e+00,-2.545874042942121918e+01,1.750003688319854200e+00,1.750003688319853312e+00
5.179220053638216470e+00,-2.201508632925884967e+01,1.750002112450918190e+00,1.750002112450918856e+00
3.640790032785145680e+00,-1.870099172275787325e+01,1.750000479447755497e+00,1.750000479447755497e+00
2.091318335665456996e+00,-1.538811502455125968e+01,1.750000779652838290e+00,1.750000779652838512e+00
7.446779708961149824e-01,-1.198815369652474061e+01,1.749998395702256904e+00,1.749998395702256238e+00
-7.072468651112873150e-02,-8.435612789724698857e+00,1.749998441934777382e+00,1.749998441934777382e+00
-3.162093765183614513e-01,-4.804460200987053398e+00,1.749999266404486331e+00,1.749999266404486331e+00
-1.116932859212819151e-01,-1.169813083162351441e+00,1.749999230057539767e+00,1.749999230057539767e+00
1.953996610370690723e-01,2.467020862331774644e+00,1.749999751264498471e+00,1.749999751264498471e+00
1.814792411319153809e-01,6.395542377318250260e+00,1.716888679878918467e+00,1.716888679878918467e+00
1.895532661798257079e-01,7.670901606623786506e+00,1.726328125000001545e+00,1.726328125000001545e+00
