x,y,right_width,left_width
-5.846377448463861981e+01,3.909966528509445993e+01,1.750000942944482496e+00,1.750000942944482496e+00
-6.193752577858782615e+01,4.106415309335976360e+01,1.749999389821171869e+00,1.749999389821168538e+00
-6.572021776933601700e+01,4.234260873929295599e+01,1.750000362907013773e+00,1.750000362907006668e+00
-6.968646073528643115e+01,4.269264016637832526e+01,1.750001133581944979e+00,1.750001133581944979e+00
-7.365169296509894536e+01,4.217601936570808618e+01,1.749998313421300189e+00,1.749998313421300189e+00
-7.749556120432157513e+01,4.107050359995558608e+01,1.750001106052112787e+00,1.750001106052117672e+00
-8.114789593694733583e+01,3.944092208698266688e+01,1.749999265467354848e+00,1.749999265467348630e+00
-8.432169297821100429e+01,3.704789588120541310e+01,1.749999088355451038e+00,1.749999088355451038e+00
-8.702273898808624608e+01,3.408929900628925225e+01,1.750000307510029440e+00,1.750000307510034325e+00
-8.975689967913413625e+01,3.115749954699698065e+01,1.750000586386735391e+00,1.750000586386738055e+00
-9.310744328490761745e+01,2.905150498426922923e+01,1.749998795016321163e+00,1.749998795016328268e+00
-9.704937816208519052e+01,2.919263483216046851e+01,1.749998531865035956e+00,1.749998531865039508e+00
-1.008967019086239532e+02,3.029104495030355793e+01,1.749999732050444567e+00,1.749999732050437906e+00
-1.048494458165818344e+02,3.048250429830888208e+01,1.750002301357079570e+00,1.750002301357076018e+00
-1.086643561350563516e+02,2.927749336708902206e+01,1.750001302940220160e+00,1.750001302940218162e+00
-1.123399000759940520e+02,2.768729499827065510e+01,1.750000321920377688e+00,1.750000321920383239e+00
-1.160944927834702867e+02,2.629031087334780281e+01,1.750000169639801095e+00,1.750000169639797321e+00
-1.200403739157250982e+02,2.607876501852321738e+01,1.750002046578736703e+00,1.750002046578739368e+00
-1.238303174182748023e+02,2.733828319504888427e+01,1.750001073533460794e+00,1.750001073533460794e+00
-1.276961826912241094e+02,2.824531623590729623e+01,1.749999303953453600e+00,1.749999303953453600e+00
-1.316623458889164908e+02,2.776089889674757316e+01,1.749999590260309379e+00,1.749999590260309379e+00
-1.354805496357706147e+02,2.658196923396719669e+01,1.749998934984676291e+00,1.749998934984665189e+00
-1.389201668554240428e+02,2.456870902088146025e+01,1.749999243403522309e+00,1.749999243403504767e+00
-1.418103337972922873e+02,2.181422154582443085e+01,1.749999017673519175e+00,1.749999017673538493e+00
-1.440789888351952754e+02,1.852730449059637508e+01,1.750002987872130600e+00,1.750002987872155469e+00
-1.456232361509770783e+02,1.484546356465552819e+01,1.750001198314570017e+00,1.750001198314570017e+00
-1.466908701792688703e+02,1.099244754444794836e+01,1.749997642000128417e+00,1.749997642000128195e+00
-1.472784466777250145e+02,7.033240883031190549e+00,1.750000065825013884e+00,1.750000065824985684e+00
-1.470862270352189967e+02,3.049003944219217388e+00,1.749999364009869440e+00,1.749999364009841463e+00
-1.456560723579107730e+02,-6.622186514408695546e-01,1.750001473804564389e+00,1.750001473804539520e+00
-1.434215072510484674e+02,-3.976796272833372115e+00,1.749999366591632244e+00,1.749999366591609595e+00
-1.406993202140658923e+02,-6.909863508587521075e+00,1.749999165102407606e+00,1.749999165102426701e+00
-1.374602499471254760e+02,-9.258836156274506735e+00,1.749999695498924090e+00,1.749999695498923424e+00
-1.336214849641715432e+02,-1.017846749692242625e+01,1.750000422709107273e+00,1.750000422709108161e+00
-1.296673911884594759e+02,-9.668884774309907115e+00,1.749999084236104840e+00,1.749999084236103952e+00
-1.259842188714331428e+02,-8.128722206884024359e+00,1.749999271225408659e+00,1.749999271225409325e+00
-1.231138719945591333e+02,-5.421901904055495436e+00,1.750000265249790798e+00,1.750000265249790354e+00
-1.211575781315241898e+02,-1.925394543356914845e+00,1.750000083133105289e+00,1.750000083133105289e+00
-1.192649483741891459e+02,1.603991696057551319e+00,1.750000105445158161e+00,1.750000105445145726e+00
-1.166591227083033289e+02,4.603729406572502292e+00,1.749999685951539430e+00,1.749999685951539430e+00
-1.133994535762190026e+02,6.909503490386347480e+00,1.750000761162570972e+00,1.750000761162578078e+00
-1.097503253702860491e+02,8.521253895852355598e+00,1.750000118115847325e+00,1.750000118115847325e+00
-1.058512371484343930e+02,9.317458225389396276e+00,1.750000381905921110e+00,1.750000381905919777e+00
-1.018391059047126816e+02,9.346875026004777709e+00,1.749999371215226418e+00,1.749999371215225530e+00
-9.785891769316958744e+01,8.938376604999074715e+00,1.750001582986139725e+00,1.750001582986137727e+00
-9.391398278413474543e+01,8.240473383150883180e+00,1.749999701152740617e+00,1.749999701152740617e+00
-9.003046400472618416e+01,7.240768606343117142e+00,1.749998784303797850e+00,1.749998784303798738e+00
-8.643021525543645112e+01,5.577992594513364821e+00,1.749999575455229994e+00,1.749999575455223111e+00
-8.322315065400721323e+01,3.220598176093373066e+00,1.749999201680844996e+00,1.749999201680853878e+00
